Property ID,Primary Property Type - Self Selected,Address 1,Postal Code,Job #,Permit Type,Work Type,energy_categories,match_method,permit_date,permit_year
1045358,Financial Office,320 Park Avenue,10022,103976985,EW,SP,"Mechanical/HVAC, FireProtection (borderline energy)",BIN,2005-01-05,2005
1045358,Financial Office,320 Park Avenue,10022,104051437,EW,OT,Mechanical/HVAC,BIN,2005-03-04,2005
1045358,Financial Office,320 Park Avenue,10022,104108494,EW,OT,Mechanical/HVAC,BIN,2005-06-09,2005
1045358,Financial Office,320 Park Avenue,10022,104132706,EW,OT,Mechanical/HVAC,BIN,2005-06-22,2005
1045358,Financial Office,320 Park Avenue,10022,104133215,EW,SP,"Mechanical/HVAC, FireProtection (borderline energy)",BIN,2005-07-18,2005
1045358,Financial Office,320 Park Avenue,10022,104216368,EW,OT,Mechanical/HVAC,BIN,2005-08-25,2005
1045358,Financial Office,320 Park Avenue,10022,104241394,EW,OT,Mechanical/HVAC,BIN,2005-09-27,2005
1045358,Financial Office,320 Park Avenue,10022,104246558,EW,OT,Mechanical/HVAC,BIN,2005-09-28,2005
1045358,Financial Office,320 Park Avenue,10022,104250962,EW,OT,Mechanical/HVAC,BIN,2005-10-11,2005
1045358,Financial Office,320 Park Avenue,10022,100973984,EW,SP,"Mechanical/HVAC, FireProtection (borderline energy)",BIN,2005-10-24,2005
1045358,Financial Office,320 Park Avenue,10022,104335845,EW,OT,Mechanical/HVAC,BIN,2006-01-20,2006
1045358,Financial Office,320 Park Avenue,10022,104346058,EW,OT,Mechanical/HVAC,BIN,2006-02-08,2006
1045358,Financial Office,320 Park Avenue,10022,104343934,EW,OT,Mechanical/HVAC,BIN,2006-02-08,2006
1045358,Financial Office,320 Park Avenue,10022,104243123,EW,SP,"Mechanical/HVAC, FireProtection (borderline energy)",BIN,2006-02-22,2006
1045358,Financial Office,320 Park Avenue,10022,104350845,PL,PL,Plumbing/DHW/Gas,BIN,2006-02-23,2006
1045358,Financial Office,320 Park Avenue,10022,104372689,EW,OT,Mechanical/HVAC,BIN,2006-03-09,2006
1045358,Financial Office,320 Park Avenue,10022,104379030,EW,OT,Mechanical/HVAC,BIN,2006-03-17,2006
1045358,Financial Office,320 Park Avenue,10022,104373081,EW,SP,"Mechanical/HVAC, FireProtection (borderline energy)",BIN,2006-03-30,2006
1045358,Financial Office,320 Park Avenue,10022,104350854,EW,SP,"Mechanical/HVAC, FireProtection (borderline energy)",BIN,2006-05-02,2006
1045358,Financial Office,320 Park Avenue,10022,104418676,EW,OT,Mechanical/HVAC,BIN,2006-05-12,2006
1045358,Financial Office,320 Park Avenue,10022,104418694,EW,SP,"Mechanical/HVAC, FireProtection (borderline energy)",BIN,2006-06-02,2006
1045358,Financial Office,320 Park Avenue,10022,104488804,EW,OT,Mechanical/HVAC,BIN,2006-07-13,2006
1045358,Financial Office,320 Park Avenue,10022,104377452,EW,SP,"Mechanical/HVAC, FireProtection (borderline energy)",BIN,2006-07-17,2006
1045358,Financial Office,320 Park Avenue,10022,104497162,EW,OT,Mechanical/HVAC,BIN,2006-08-01,2006
1045358,Financial Office,320 Park Avenue,10022,104492666,EW,OT,Mechanical/HVAC,BIN,2006-08-11,2006
1045358,Financial Office,320 Park Avenue,10022,104538029,EW,OT,Mechanical/HVAC,BIN,2006-08-23,2006
1045358,Financial Office,320 Park Avenue,10022,104601600,PL,PL,Plumbing/DHW/Gas,BIN,2007-01-10,2007
1045358,Financial Office,320 Park Avenue,10022,104643959,EW,OT,Mechanical/HVAC,BIN,2007-01-18,2007
1045358,Financial Office,320 Park Avenue,10022,104488813,EW,SP,"Mechanical/HVAC, FireProtection (borderline energy)",BIN,2007-01-25,2007
